parent_id,child_id,birth_order,adoptive
1.1.5.5.7.2,1.1.5.5.7.2.1,1,
1.1.5.5.7.2a,1.1.5.5.7.2.1,1,
1.1.5.5.7.2,1.1.5.5.7.2.2,2,
1.1.5.5.7.2a,1.1.5.5.7.2.2,2,
1.1.5.5.7,1.1.5.5.7.3,3,
1.1.5.5.7a,1.1.5.5.7.3,3,
1.1.5.5,1.1.5.5.8,8,
1.1.5.5a,1.1.5.5.8,8,
1.1.5.5.8,1.1.5.5.8.1,1,
1.1.5.5.8a,1.1.5.5.8.1,1,
1.1.5.5.8.1,1.1.5.5.8.1.1,1,
1.1.5.5.8.1a,1.1.5.5.8.1.1,1,
1.1.5.5,1.1.5.5.9,9,
1.1.5.5a,1.1.5.5.9,9,
1.1.5.5.9,1.1.5.5.9.1,1,
1.1.5.5.9a,1.1.5.5.9.1,1,
1.1.5.5.9.1,1.1.5.5.9.1.1,1,
1.1.5.5.9.1a,1.1.5.5.9.1.1,1,
1.1.5,1.1.5.6,6,
1.1.5a,1.1.5.6,6,
1.1.5.6,1.1.5.6.1,1,
1.1.5.6a,1.1.5.6.1,1,
1,1.2,2,
1a,1.2,2,
1.2,1.2.1,1,
1.2a,1.2.1,1,
1.2.1,1.2.1.1,1,
1.2.1a,1.2.1.1,1,
1.2.1,1.2.1.2,2,
1.2.1a,1.2.1.2,2,
1.2.1.2,1.2.1.2.1,1,
1.2.1.2a,1.2.1.2.1,1,
1.2.1.2.1,1.2.1.2.1.1,1,
1.2.1.2.1a,1.2.1.2.1.1,1,
1.2.1.2.1.1,1.2.1.2.1.1.1,1,
1.2.1.2.1.1a,1.2.1.2.1.1.1,1,
1.2.1.2.1.1.1,1.2.1.2.1.1.1.1,1,
1.2.1.2.1.1.1a,1.2.1.2.1.1.1.1,1,
1.2.1.2.1.1.1,1.2.1.2.1.1.1.2,2,
1.2.1.2.1.1.1a,1.2.1.2.1.1.1.2,2,
1.2.1.2.1.1,1.2.1.2.1.1.2,2,
1.2.1.2.1.1a,1.2.1.2.1.1.2,2,
1.2.1.2.1.1.2,1.2.1.2.1.1.2.1,1,
1.2.1.2.1.1.2a,1.2.1.2.1.1.2.1,1,
1.2.1.2.1.1,1.2.1.2.1.1.3,3,
1.2.1.2.1.1a,1.2.1.2.1.1.3,3,
1.2.1.2.1.1,1.2.1.2.1.1.4,4,
1.2.1.2.1.1a,1.2.1.2.1.1.4,4,
1.2.1.2.1.1,1.2.1.2.1.1.5,5,
1.2.1.2.1.1a,1.2.1.2.1.1.5,5,
1.2.1.2.1,1.2.1.2.1.2,2,
1.2.1.2.1a,1.2.1.2.1.2,2,
